,id,install_date,installed,lat,locality,locked,lon,num_bikes,num_docks,num_empty,removal_date,temporary
149,966,2010-07-16 10:38:00,True,51.494436,"New Kent Road, The Borough",False,-0.092921,22,33,11,,False
150,1094,2010-07-16 10:40:00,True,51.500397,"Wright's Lane, Kensington",False,-0.193068,17,37,20,,False
151,1113,2010-07-16 10:42:00,True,51.490853,"Trebovir Road, Earl's Court",False,-0.19617,0,18,18,,False
152,1125,2010-07-16 10:46:00,True,51.514619,"Great Marlborough Street, Soho",False,-0.137841,19,39,19,,False
153,3458,2010-07-16 10:58:00,True,51.506633,"Waterloo Place, St. James's",False,-0.131773,3,20,17,,False
154,3478,2010-07-16 14:29:00,True,51.492345,"Guildhouse Street, Victoria",False,-0.141334,14,16,2,,False
155,1123,2010-07-16 14:32:00,True,51.517606,"Southampton Place, Holborn",False,-0.121328,1,20,19,,False
156,3461,2010-07-16 14:35:00,True,51.493184,"Sloane Avenue, Knightsbridge",False,-0.167894,18,27,9,,False
157,1178,2010-07-16 14:40:00,True,51.515607,"Cleveland Gardens, Bayswater",False,-0.183118,5,16,11,,False
158,2585,2010-07-16 14:46:00,True,51.517932,"Orsett Terrace, Bayswater",False,-0.183716,9,15,6,,False
159,1177,2010-07-16 14:49:00,True,51.501855,"Seville Street, Knightsbridge",False,-0.159237,15,27,12,,False
160,3465,,True,51.49395,"Eccleston Place, Victoria",False,-0.147624,16,19,3,,False
161,3463,2010-07-16 15:10:00,True,51.500401,"Argyll Road, Kensington",False,-0.195455,4,19,15,,False
162,3477,2010-07-16 15:16:00,True,51.514746,"Porchester Place, Paddington",False,-0.165164,13,18,4,,False
163,1057,2010-07-16 15:23:00,True,51.527842,"Hardwick Street, Clerkenwell",False,-0.108068,9,30,21,,False
164,3459,2010-07-16 15:40:00,True,51.491615,"Collingham Gardens, Earl's Court",False,-0.186753,11,14,2,,False
165,1124,2010-07-16 15:45:00,True,51.491211,"Sumner Place, South Kensington",False,-0.173715,15,19,4,,False
166,1176,2010-07-16 16:05:00,True,51.50486,"Waterloo Road, South Bank",False,-0.113001,5,15,10,,False
167,1100,2010-07-16 16:59:00,True,51.512529,"Strand, Strand",False,-0.115163,12,36,24,,False
168,997,2010-07-16 17:11:00,True,51.521743,"Appold Street, Liverpool Street",False,-0.081118,0,26,24,,False
169,1173,2010-07-16 17:26:00,True,51.517919,"Gloucester Terrace, Bayswater",False,-0.188098,6,23,17,,False
170,1122,2010-07-16 17:29:00,True,51.49616,"Ashley Place, Victoria",False,-0.140947,20,25,4,,False
171,3460,2010-07-16 17:32:00,True,51.489856,"Warwick Square, Pimlico",False,-0.141923,15,19,3,,False
172,1126,2010-07-16 17:37:00,True,51.512911,"North Audley Street, Mayfair",False,-0.153645,8,17,9,,False
173,3473,2010-07-16 17:41:00,True,51.499412,"Belgrave Square, Belgravia",False,-0.152317,0,21,21,,False
174,1166,2010-07-17 11:39:00,True,51.522029,"Bell Street , Marylebone",False,-0.165842,10,18,8,,False
175,1165,2010-07-17 11:56:00,True,51.482362,"Riverlight North, Nine Elms",False,-0.136123,4,24,20,2013-07-02 11:06:00,False
